District,Urban/Rural,Age_years,Male,Female,Total,County,Province,OBJECTID
NAIROBI WEST,Urban,0,10126,10116,20242,Nairobi,NAIROBI,0
NAIROBI WEST,Urban,1,8124,7989,16113,Nairobi,NAIROBI,1
NAIROBI WEST,Urban,2,8462,8627,17089,Nairobi,NAIROBI,2
NAIROBI WEST,Urban,3,8334,8420,16754,Nairobi,NAIROBI,3
NAIROBI WEST,Urban,4,7948,7820,15768,Nairobi,NAIROBI,4
NAIROBI WEST,Urban,5,7547,7660,15207,Nairobi,NAIROBI,5
NAIROBI WEST,Urban,6,6966,7082,14048,Nairobi,NAIROBI,6
NAIROBI WEST,Urban,7,6511,6674,13185,Nairobi,NAIROBI,7
NAIROBI WEST,Urban,8,6171,6489,12660,Nairobi,NAIROBI,8
NAIROBI WEST,Urban,9,6361,6662,13023,Nairobi,NAIROBI,9
NAIROBI WEST,Urban,10,6440,6592,13032,Nairobi,NAIROBI,10
NAIROBI WEST,Urban,11,4907,5260,10167,Nairobi,NAIROBI,11
NAIROBI WEST,Urban,12,5717,5998,11715,Nairobi,NAIROBI,12
NAIROBI WEST,Urban,13,5442,5763,11205,Nairobi,NAIROBI,13
NAIROBI WEST,Urban,14,4956,5193,10149,Nairobi,NAIROBI,14
NAIROBI WEST,Urban,15,4630,5384,10014,Nairobi,NAIROBI,15
NAIROBI WEST,Urban,16,4686,5690,10376,Nairobi,NAIROBI,16
NAIROBI WEST,Urban,17,5396,6580,11976,Nairobi,NAIROBI,17
NAIROBI WEST,Urban,18,5914,7810,13724,Nairobi,NAIROBI,18
NAIROBI WEST,Urban,19,5891,7942,13833,Nairobi,NAIROBI,19
NAIROBI WEST,Urban,20,8128,11795,19923,Nairobi,NAIROBI,20
NAIROBI WEST,Urban,21,7348,9257,16605,Nairobi,NAIROBI,21
NAIROBI WEST,Urban,22,9543,11537,21080,Nairobi,NAIROBI,22
NAIROBI WEST,Urban,23,10187,11374,21561,Nairobi,NAIROBI,23
NAIROBI WEST,Urban,24,10076,10686,20762,Nairobi,NAIROBI,24
NAIROBI WEST,Urban,25,12078,12002,24080,Nairobi,NAIROBI,25
NAIROBI WEST,Urban,26,9296,9245,18541,Nairobi,NAIROBI,26
NAIROBI WEST,Urban,27,9861,8706,18567,Nairobi,NAIROBI,27
NAIROBI WEST,Urban,28,9510,9231,18741,Nairobi,NAIROBI,28
NAIROBI WEST,Urban,29,7961,7086,15047,Nairobi,NAIROBI,29
NAIROBI WEST,Urban,30,12093,10335,22428,Nairobi,NAIROBI,30
NAIROBI WEST,Urban,31,6136,4517,10653,Nairobi,NAIROBI,31
NAIROBI WEST,Urban,32,8362,6711,15073,Nairobi,NAIROBI,32
NAIROBI WEST,Urban,33,5520,4400,9920,Nairobi,NAIROBI,33
NAIROBI WEST,Urban,34,6081,4553,10634,Nairobi,NAIROBI,34
NAIROBI WEST,Urban,35,9421,6425,15846,Nairobi,NAIROBI,35
NAIROBI WEST,Urban,36,5140,4040,9180,Nairobi,NAIROBI,36
NAIROBI WEST,Urban,37,4966,3542,8508,Nairobi,NAIROBI,37
NAIROBI WEST,Urban,38,5411,4398,9809,Nairobi,NAIROBI,38
NAIROBI WEST,Urban,39,4568,3174,7742,Nairobi,NAIROBI,39
NAIROBI WEST,Urban,40,7341,4991,12332,Nairobi,NAIROBI,40
NAIROBI WEST,Urban,41,3107,1976,5083,Nairobi,NAIROBI,41
NAIROBI WEST,Urban,42,4165,2733,6898,Nairobi,NAIROBI,42
NAIROBI WEST,Urban,43,3054,2101,5155,Nairobi,NAIROBI,43
NAIROBI WEST,Urban,44,2551,1662,4213,Nairobi,NAIROBI,44
NAIROBI WEST,Urban,45,4616,2980,7596,Nairobi,NAIROBI,45
NAIROBI WEST,Urban,46,2891,2003,4894,Nairobi,NAIROBI,46
NAIROBI WEST,Urban,47,2657,1606,4263,Nairobi,NAIROBI,47
NAIROBI WEST,Urban,48,2602,1724,4326,Nairobi,NAIROBI,48
NAIROBI WEST,Urban,49,2714,1519,4233,Nairobi,NAIROBI,49
NAIROBI WEST,Urban,50,3416,2212,5628,Nairobi,NAIROBI,50
NAIROBI WEST,Urban,51,1645,916,2561,Nairobi,NAIROBI,51
NAIROBI WEST,Urban,52,2020,1138,3158,Nairobi,NAIROBI,52
NAIROBI WEST,Urban,53,1475,845,2320,Nairobi,NAIROBI,53
NAIROBI WEST,Urban,54,1430,843,2273,Nairobi,NAIROBI,54
NAIROBI WEST,Urban,55,1842,1068,2910,Nairobi,NAIROBI,55
NAIROBI WEST,Urban,56,1286,757,2043,Nairobi,NAIROBI,56
NAIROBI WEST,Urban,57,1167,674,1841,Nairobi,NAIROBI,57
NAIROBI WEST,Urban,58,888,522,1410,Nairobi,NAIROBI,58
NAIROBI WEST,Urban,59,861,571,1432,Nairobi,NAIROBI,59
NAIROBI WEST,Urban,60,1342,926,2268,Nairobi,NAIROBI,60
NAIROBI WEST,Urban,61,606,396,1002,Nairobi,NAIROBI,61
NAIROBI WEST,Urban,62,643,402,1045,Nairobi,NAIROBI,62
NAIROBI WEST,Urban,63,533,354,887,Nairobi,NAIROBI,63
NAIROBI WEST,Urban,64,472,378,850,Nairobi,NAIROBI,64
NAIROBI WEST,Urban,65,631,462,1093,Nairobi,NAIROBI,65
NAIROBI WEST,Urban,66,309,267,576,Nairobi,NAIROBI,66
NAIROBI WEST,Urban,67,358,248,606,Nairobi,NAIROBI,67
NAIROBI WEST,Urban,68,294,199,493,Nairobi,NAIROBI,68
NAIROBI WEST,Urban,69,235,210,445,Nairobi,NAIROBI,69
NAIROBI WEST,Urban,70,400,415,815,Nairobi,NAIROBI,70
NAIROBI WEST,Urban,71,135,138,273,Nairobi,NAIROBI,71
NAIROBI WEST,Urban,72,205,178,383,Nairobi,NAIROBI,72
NAIROBI WEST,Urban,73,175,134,309,Nairobi,NAIROBI,73
NAIROBI WEST,Urban,74,128,91,219,Nairobi,NAIROBI,74
NAIROBI WEST,Urban,75,180,209,389,Nairobi,NAIROBI,75
NAIROBI WEST,Urban,76,130,106,236,Nairobi,NAIROBI,76
NAIROBI WEST,Urban,77,96,91,187,Nairobi,NAIROBI,77
NAIROBI WEST,Urban,78,98,114,212,Nairobi,NAIROBI,78
NAIROBI WEST,Urban,79,91,101,192,Nairobi,NAIROBI,79
NAIROBI WEST,Urban,80+,834,1288,2122,Nairobi,NAIROBI,80
NAIROBI WEST,Urban,Age NS,389,225,614,Nairobi,NAIROBI,81
NAIROBI EAST,Urban,0,18237,18163,36400,Nairobi,NAIROBI,82
NAIROBI EAST,Urban,1,14557,14227,28784,Nairobi,NAIROBI,83
NAIROBI EAST,Urban,2,15274,14917,30191,Nairobi,NAIROBI,84
NAIROBI EAST,Urban,3,14410,14247,28657,Nairobi,NAIROBI,85
NAIROBI EAST,Urban,4,13735,13617,27352,Nairobi,NAIROBI,86
NAIROBI EAST,Urban,5,13211,13181,26392,Nairobi,NAIROBI,87
NAIROBI EAST,Urban,6,11407,12000,23407,Nairobi,NAIROBI,88
NAIROBI EAST,Urban,7,11061,11171,22232,Nairobi,NAIROBI,89
NAIROBI EAST,Urban,8,10225,10487,20712,Nairobi,NAIROBI,90
NAIROBI EAST,Urban,9,10552,10872,21424,Nairobi,NAIROBI,91
NAIROBI EAST,Urban,10,10241,10474,20715,Nairobi,NAIROBI,92
NAIROBI EAST,Urban,11,7829,8381,16210,Nairobi,NAIROBI,93
NAIROBI EAST,Urban,12,8746,9432,18178,Nairobi,NAIROBI,94
NAIROBI EAST,Urban,13,8239,8950,17189,Nairobi,NAIROBI,95
NAIROBI EAST,Urban,62,715,415,1130,Nairobi,NAIROBI,96
NAIROBI EAST,Urban,14,7172,7960,15132,Nairobi,NAIROBI,97
NAIROBI EAST,Urban,15,6831,8554,15385,Nairobi,NAIROBI,98
NAIROBI EAST,Urban,16,6939,9692,16631,Nairobi,NAIROBI,99
NAIROBI EAST,Urban,17,7502,10747,18249,Nairobi,NAIROBI,100
NAIROBI EAST,Urban,18,8281,12944,21225,Nairobi,NAIROBI,101
NAIROBI EAST,Urban,19,8787,13708,22495,Nairobi,NAIROBI,102
NAIROBI EAST,Urban,20,12803,21060,33863,Nairobi,NAIROBI,103
NAIROBI EAST,Urban,21,12217,16777,28994,Nairobi,NAIROBI,104
NAIROBI EAST,Urban,22,15898,21697,37595,Nairobi,NAIROBI,105
NAIROBI EAST,Urban,23,16882,21301,38183,Nairobi,NAIROBI,106
NAIROBI EAST,Urban,24,18028,20785,38813,Nairobi,NAIROBI,107
NAIROBI EAST,Urban,25,21383,23090,44473,Nairobi,NAIROBI,108
NAIROBI EAST,Urban,26,17238,18413,35651,Nairobi,NAIROBI,109
NAIROBI EAST,Urban,27,18267,16848,35115,Nairobi,NAIROBI,110
NAIROBI EAST,Urban,28,18264,18054,36318,Nairobi,NAIROBI,111
NAIROBI EAST,Urban,29,15530,13176,28706,Nairobi,NAIROBI,112
NAIROBI EAST,Urban,30,23060,18937,41997,Nairobi,NAIROBI,113
NAIROBI EAST,Urban,31,11422,7906,19328,Nairobi,NAIROBI,114
NAIROBI EAST,Urban,32,15495,11519,27014,Nairobi,NAIROBI,115
NAIROBI EAST,Urban,33,10233,7204,17437,Nairobi,NAIROBI,116
NAIROBI EAST,Urban,34,11139,7684,18823,Nairobi,NAIROBI,117
NAIROBI EAST,Urban,35,16527,10542,27069,Nairobi,NAIROBI,118
NAIROBI EAST,Urban,36,8879,6034,14913,Nairobi,NAIROBI,119
NAIROBI EAST,Urban,37,8403,5489,13892,Nairobi,NAIROBI,120
NAIROBI EAST,Urban,38,9182,6583,15765,Nairobi,NAIROBI,121
NAIROBI EAST,Urban,39,7557,4802,12359,Nairobi,NAIROBI,122
NAIROBI EAST,Urban,40,11658,7211,18869,Nairobi,NAIROBI,123
NAIROBI EAST,Urban,41,4812,2592,7404,Nairobi,NAIROBI,124
NAIROBI EAST,Urban,42,6525,3905,10430,Nairobi,NAIROBI,125
NAIROBI EAST,Urban,43,4524,2826,7350,Nairobi,NAIROBI,126
NAIROBI EAST,Urban,44,3760,2276,6036,Nairobi,NAIROBI,127
NAIROBI EAST,Urban,45,6695,3923,10618,Nairobi,NAIROBI,128
NAIROBI EAST,Urban,46,4254,2539,6793,Nairobi,NAIROBI,129
NAIROBI EAST,Urban,47,3822,2126,5948,Nairobi,NAIROBI,130
NAIROBI EAST,Urban,48,3469,2214,5683,Nairobi,NAIROBI,131
NAIROBI EAST,Urban,49,3386,1941,5327,Nairobi,NAIROBI,132
NAIROBI EAST,Urban,50,4537,2728,7265,Nairobi,NAIROBI,133
NAIROBI EAST,Urban,51,2155,1227,3382,Nairobi,NAIROBI,134
NAIROBI EAST,Urban,52,2407,1292,3699,Nairobi,NAIROBI,135
NAIROBI EAST,Urban,53,1811,1001,2812,Nairobi,NAIROBI,136
NAIROBI EAST,Urban,54,1771,978,2749,Nairobi,NAIROBI,137
NAIROBI EAST,Urban,55,1978,1301,3279,Nairobi,NAIROBI,138
NAIROBI EAST,Urban,56,1464,916,2380,Nairobi,NAIROBI,139
NAIROBI EAST,Urban,57,1357,815,2172,Nairobi,NAIROBI,140
NAIROBI EAST,Urban,58,967,716,1683,Nairobi,NAIROBI,141
NAIROBI EAST,Urban,59,1022,617,1639,Nairobi,NAIROBI,142
NAIROBI EAST,Urban,60,1547,1136,2683,Nairobi,NAIROBI,143
NAIROBI EAST,Urban,61,705,399,1104,Nairobi,NAIROBI,144
NAIROBI EAST,Urban,63,632,355,987,Nairobi,NAIROBI,145
